timestamp_utc,node_id,reading_celsius,status,note
03:38:05,node_01,22.4,OK,
03:38:05,node_02,21.9,OK,
03:38:05,node_03,22.1,OK,
03:38:05,node_04,21.7,OK,
03:38:05,node_05,22.0,OK,
03:40:00,node_01,22.3,OK,
03:40:00,node_02,21.8,OK,
03:40:00,node_03,22.0,OK,
03:40:00,node_04,21.6,OK,
03:40:00,node_05,21.9,OK,
03:42:30,node_01,ERR,SENSOR_RESET,power_interrupt
03:42:30,node_02,ERR,SENSOR_RESET,power_interrupt
03:42:30,node_03,ERR,SENSOR_RESET,power_interrupt
03:42:30,node_04,22.1,OK,
03:42:30,node_05,22.2,OK,
03:44:00,node_01,ERR,UNRESPONSIVE,
03:44:00,node_02,ERR,UNRESPONSIVE,
03:44:00,node_03,ERR,UNRESPONSIVE,
03:44:00,node_04,22.0,OK,
03:44:00,node_05,21.8,OK,
03:46:00,node_01,ERR,UNRESPONSIVE,
03:46:00,node_02,ERR,UNRESPONSIVE,
03:46:00,node_03,ERR,UNRESPONSIVE,
03:46:00,node_04,22.1,OK,
03:46:00,node_05,21.9,OK,
03:50:00,node_01,ERR,UNRESPONSIVE,
03:50:00,node_02,ERR,UNRESPONSIVE,
03:50:00,node_03,ERR,UNRESPONSIVE,
03:50:00,node_04,22.0,OK,
03:50:00,node_05,22.0,OK,
